Sr. No.,work_id,Work category,work_category_code,State,IDA,MP,Elected/Nominated,Work description,Recommended date,Sanction Date,sanction_lag_days,sanction_amount,Work Status,work_status_code
20,"WS/MP577/2025-2026/133551-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,khangela game dharmesh na ghar taraf jata rasta par c.c.road nu kam,2024-07-17,2025-10-17,457,242105.0,Physical Inspection,0
21,"WS/MP577/2025-2026/133552-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,khapariya game damor faliya ma c.c.road nu kam,2024-07-17,2025-04-11,268,250000.0,Sanction,1
22,"WS/MP577/2025-2026/133553-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,agavada game gamtal sarpanch faliya ma c.c.road nu kam,2024-07-17,2025-10-07,447,245697.0,Sanction,1
23,WS/MP577/2025-2026/133554-Construction of shelters for animals,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,dashla game sarkari prathmik  shala ma shed nu kam,2024-07-17,2025-10-17,457,245098.0,Sanction,1
24,"WS/MP577/2025-2026/133556-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,khapariiya game damor simada faliya faliya ma c.c.road nu kam,2024-07-17,2025-10-07,447,245697.0,Sanction,1
25,WS/MP577/2025-2026/133557-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,VAROD SURPALI SADIYAVARU FALIYAMA AAVEL SARKARI SARVE NO.189-1 MA SAMUHIK KUVA NU KAM,2024-07-17,2026-01-02,534,250000.0,Sanction,1
26,"WS/MP577/2025-2026/133558-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,varamkheda game mukhy rasta thi gamtal sudhi c.c.road nu kam,2024-07-17,2025-10-07,447,245697.0,Sanction,1
27,"WS/MP577/2025-2026/133559-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,moti kharaj game dhanthadi c.c.road nu kam,2024-07-17,2025-10-17,457,245098.0,Sanction,1
28,WS/MP577/2025-2026/133560-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,nagrala game bamaniya faliya ma samuhik sinchai kuva nu kam,2024-07-17,2025-10-17,457,245826.0,Sanction,1
29,WS/MP577/2025-2026/133561-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,nasirpur game mavi faliya ma samuhik kuva nu kam,2024-07-17,2025-10-17,457,245826.0,Sanction,1
30,"WS/MP577/2025-2026/133562-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,punsari game bhuriya faliya ma paka rasta ne jodto c.c.road nu kam,2024-07-17,2025-10-07,447,245697.0,Sanction,1
31,"WS/MP577/2025-2026/133563-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,chandawada game toranvali mahudi faliya ma c.c.road nu kam,2024-07-17,2025-10-07,447,245697.0,Physical Inspection,0
32,"WS/MP577/2025-2026/133564-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,DHAVADIYA GAME BORVA FALIYAMA C.C.ROADNU KAM,2024-07-17,2026-01-02,534,250000.0,Physical Inspection,0
33,"WS/MP577/2025-2026/133565-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,simaliya khurd  game gamtal thi majubhai na ghar sudhi c.c.road nu kam,2024-07-17,2025-04-11,268,250000.0,Physical Inspection,0
34,"WS/MP577/2025-2026/133566-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,varamkheda game nadini bajuma c.c.road nu kam,2024-07-17,2025-10-07,447,250000.0,Sanction,1
35,"WS/MP577/2025-2026/133567-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,bhutodi game mohaniya  faliya ma c.c.road nu kam,2024-07-17,2025-10-17,457,245098.0,Physical Inspection,0
36,"WS/MP577/2025-2026/133568-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,motikharaj game paka rasta thi  bhabhor faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,447,245697.0,Sanction,1
37,"WS/MP577/2025-2026/133569-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,khangela game paka rasta thi dineshbai gundiya  na ghar sudhi c.c.road nu kam,2024-07-17,2025-04-11,268,250000.0,Physical Inspection,0
38,WS/MP577/2025-2026/133570-Providing drains and gutters for public drainage,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,gadoi game umriya kotar upar smshan jata rasta upar nala nu kam,2024-07-17,2025-04-11,268,250000.0,Sanction,1
39,WS/MP577/2025-2026/133571-Providing drains and gutters for public drainage,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,bavka game mulka faliya thi smshan taraf jata rasta par nala nu kam,2024-07-17,2025-04-11,268,250000.0,Sanction,1
40,WS/MP577/2025-2026/133572-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,katwara game hathila faliya ma  samuhik kuva nu kam,2024-07-17,2025-10-17,457,245826.0,Sanction,1
41,"WS/MP577/2025-2026/133573-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,nani kharaj game bandikhedi panda faliya ma c.c.road nu kam,2024-07-17,2025-10-07,447,245697.0,Sanction,1
42,"WS/MP577/2025-2026/133574-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,kathla game damar road thi parmar faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,447,245697.0,Sanction,1
43,"WS/MP577/2024-2025/133575-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,nalwai game chopadi faliya ma c.c.road nu kam,2024-07-17,2025-03-27,253,250000.0,Work partially Completed,5
44,"WS/MP577/2024-2025/133576-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,garbada game kamliyavad faliyama c.c.road nu kam,2024-07-17,2025-03-27,253,250000.0,Sanction,1
45,WS/MP577/2025-2026/133577-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,lilar game mavi faliya ma  samuhik kuva nu kam,2024-07-17,2025-10-17,457,245826.0,Sanction,1
46,"WS/MP577/2024-2025/133578-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,chharchhoda game bhabhor faliya thi aanganvadi ne jodto c.c.roadnu kam,2024-07-17,2025-03-27,253,250000.0,Sanction,1
47,"WS/MP577/2025-2026/133579-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,bhutardi game bhuriya faliya ma c.c.road nu kam,2024-07-17,2025-10-04,444,247496.0,Physical Inspection,0
48,"WS/MP577/2025-2026/133580-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,minakyar game bilval faliya ma c.c.road nu kam,2024-07-17,2025-10-04,444,247496.0,Sanction,1
49,"WS/MP577/2025-2026/133581-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,kharva game rasulbhaina ghar pase nikalti  sheri thi aanganvadi sudhi c.c.road nu kam,2024-07-17,2026-01-12,544,250000.0,Sanction,1
50,WS/MP577/2025-2026/133582-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,nelsur game aashram faliya ma saamuhik kuva nu kam,2024-07-17,2026-01-12,544,250000.0,Sanction,1
51,WS/MP577/2025-2026/133583-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,ambli game khada faliya ma samuhik  kuva nu kam,2024-07-17,2026-01-12,544,250000.0,Sanction,1
52,"WS/MP577/2024-2025/133584-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,vajelav game sarpanch faliya ma c.c.road nu kam,2024-07-17,2025-03-27,253,249291.0,Physical Inspection,0
53,"WS/MP577/2024-2025/133585-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,matwa game navi vsahat thi badarbhai plas na ghar sudhi c.c.road nu kam,2024-07-17,2025-03-27,253,250000.0,Physical Inspection,0
54,"WS/MP577/2024-2025/133586-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,abhlod game indira nagari faliya ma c.c.road nu kam,2024-07-17,2025-03-27,253,249291.0,Sanction,1
55,"WS/MP577/2025-2026/133587-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,zari burjarg game dungra faliya ma aanganvadi thi ramanbhai vanabhai na ghar sudhi c.c.road nu kam,2024-07-17,2025-10-04,444,247496.0,Sanction,1
56,"WS/MP577/2024-2025/133588-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,rayan panchayat limbu faliya thi lilva talavne jodto c.c.road nu kam,2024-07-17,2025-03-27,253,250000.0,Physical Inspection,0
57,WS/MP577/2025-2026/133589-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,boriyala game divaniya faliya ma samuhik kuva nu kam,2024-07-17,2026-01-12,544,250000.0,Sanction,1
58,WS/MP577/2025-2026/133590-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,patiya game simada faliya ma samuhik kuva nu kam,2024-07-17,2026-01-12,544,250000.0,Sanction,1
59,"WS/MP577/2025-2026/133591-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,abhlod game umriya umariya faliya thi pranmji mandir par c.c.road nu kam,2024-07-17,2026-01-12,544,250000.0,Physical Inspection,0
60,"WS/MP577/2024-2025/133592-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,kharva game bhuriya faliya ma c.c.road nu kam,2024-07-17,2025-03-27,253,249291.0,Sanction,1
61,WS/MP577/2025-2026/133593-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,DHAMANBARI GAME NISHAL FALIYAMA SAMUHIK KUVANU KAM,2024-07-17,2026-01-02,534,350000.0,Sanction,1
62,"WS/MP577/2025-2026/133594-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,patiya game katara faliya thi samshan sudhi c.c.road nu kam,2024-07-17,2026-01-12,544,250000.0,Sanction,1
63,"WS/MP577/2025-2026/133595-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,nadhelav game bara na kotar thi shala taraf jata rasta par c.c.road nu kam,2024-07-17,2025-10-04,444,247496.0,Sanction,1
64,"WS/MP577/2025-2026/133596-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,abhlod game mukhy rastaa thi  bor faliya sudhi c.c.road nu kam,2024-07-17,2026-01-12,544,300000.0,Sanction,1
65,"WS/MP577/2024-2025/133597-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,nimach game nichvas faliya ma c.c.road nu kam,2024-07-17,2025-03-27,253,249291.0,Physical Inspection,0
66,"WS/MP577/2024-2025/133598-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,vadva game bariya faliya anganvadi ne jodto c.c.road nu kam,2024-07-17,2025-03-27,253,249291.0,Sanction,1
67,WS/MP577/2025-2026/133599-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,zarikhareli ma vaniya faliyama sarvajanik kuva nu kam,2024-07-17,2026-01-12,544,250000.0,Sanction,1
68,"WS/MP577/2024-2025/133600-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,sahada game nishal faliya thi khaped faliya ne jodto c.c.road nu kam,2024-07-17,2025-03-27,253,249291.0,Physical Inspection,0
69,"WS/MP577/2024-2025/133601-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,nava faliya thi bamniya sudhi c.c.road nu kam,2024-07-17,2025-03-27,253,249291.0,Physical Inspection,0
70,WS/MP577/2025-2026/133602-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,nadhelav game burva  faliyama sarvjanik kuva nu kam,2024-07-17,2026-01-12,544,250000.0,Physical Inspection,0
71,"WS/MP577/2025-2026/133603-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,rayan game paka road thi gamtal sudhi c.c.road nu kam,2024-07-17,2026-01-12,544,250000.0,Sanction,1
72,WS/MP577/2025-2026/133604-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,PANIVED GAME KALADALA FALIYAMA SARKARI SARVE NUMBER 333 MA SAMUHIK KUVANU KAM,2024-07-17,2026-01-02,534,250000.0,Sanction,1
73,"WS/MP577/2025-2026/133605-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,khalta garbadi game risol faliya ma c.c road nu kam,2024-07-17,2026-01-02,534,250000.0,Sanction,1
74,"WS/MP577/2024-2025/133606-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,dumka game main road thi mukhy nishal sudhi c.c.road nu kam,2024-07-17,2025-03-16,242,250000.0,Sanction,1
75,"WS/MP577/2024-2025/133607-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,motimalu game main road thi baheda faliya sudhi c.c.road nu kam,2024-07-17,2025-03-16,242,250000.0,Sanction,1
76,"WS/MP577/2024-2025/133608-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,dumka game anganvadi kendr number 4 par c.c.road nu kam,2024-07-17,2025-03-16,242,250000.0,Sanction,1
77,"WS/MP577/2025-2026/133609-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,khalta game mohaniya faliya ma c.c road nu kam,2024-07-17,2026-01-02,534,250000.0,Sanction,1
78,WS/MP577/2026-2027/133610-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,vakota game maji sarpanch faliya ma sarvjanik kuva nu kam,2024-07-17,2026-06-30,713,250000.0,Sanction,1
79,"WS/MP577/2025-2026/133611-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,dhanarpatiya game mukhy  faliyama c.c.road nu kam,2024-07-17,2026-01-02,534,250000.0,Sanction,1
80,"WS/MP577/2024-2025/133612-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,khajuri game mali faliya ma c.c.road nu kam,2024-07-17,2025-03-16,242,250000.0,Sanction,1
